Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
md我从来没有,2021-07-01 03:20:56,R,text,0,0.975566,0.0109951,0.989005
半夜,2021-07-01 23:41:04,Matteo,text,2,0.180919,0.631414,0.368586
"""你矜不矜持啊""",2021-07-01 23:41:17,Matteo,text,0,0.920132,0.0359405,0.964059
云嘤强度还不错,2021-07-01 23:42:10,Matteo,text,2,0.768033,0.895615,0.104385
和曜差不多,2021-07-01 23:42:24,Matteo,text,2,0.526997,0.787149,0.212851
刮？,2021-07-01 23:42:34,R,text,0,0.990251,0.00438695,0.995613
还好吧,2021-07-01 23:42:41,Matteo,text,2,0.506625,0.777981,0.222019
薛定谔的刮？,2021-07-01 23:42:43,R,text,0,0.990103,0.00445385,0.995546
打李白贼猛,2021-07-01 23:42:49,Matteo,text,2,0.0980318,0.594114,0.405886
我李白开局乱杀最后被翻盘了,2021-07-01 23:43:01,Matteo,text,0,0.893126,0.0480933,0.951907
一觉醒来又错过了组队,2021-07-02 06:20:30,Matteo,text,2,0.983966,0.992785,0.00721507
现在还要组队？,2021-07-02 06:27:31,R,text,0,0.621674,0.170247,0.829753
嗯,2021-07-02 06:32:56,Matteo,text,2,0.204458,0.642006,0.357994
随便吧,2021-07-02 06:33:08,Matteo,text,0,0.986862,0.00591191,0.994088
看到成绩我也躺平了,2021-07-02 06:33:24,Matteo,text,2,0.795191,0.907836,0.0921642
她不回我了,2021-07-07 05:00:47,Matteo,text,0,0.979696,0.00913679,0.990863
[旺柴][旺柴],2021-07-07 05:00:50,Matteo,text,0,0.717533,0.12711,0.87289
啊 是因为看的太少了教不动吗,2021-07-07 05:16:28,R,text,0,0.993036,0.00313392,0.996866
压根没去过,2021-07-07 05:17:14,Matteo,text,0,0.998098,0.000855911,0.999144
她说下学期不是她教,2021-07-07 05:17:29,Matteo,text,0,0.99557,0.00199348,0.998007
[旺柴],2021-07-07 05:19:07,R,text,0,0.572422,0.19241,0.80759
买了世冠门票,2021-07-16 01:08:40,Matteo,text,2,0.905685,0.957558,0.0424419
我感觉我到时候连大屏幕都看不清,2021-07-16 01:08:56,Matteo,text,0,0.933616,0.0298726,0.970127
牛啊,2021-07-16 01:19:12,R,text,2,0.993773,0.997198,0.00280195
北京那个,2021-07-16 01:19:16,R,text,2,0.902518,0.956133,0.043867
小组赛,2021-07-16 01:19:30,Matteo,text,2,0.945791,0.975606,0.0243941
南京的,2021-07-16 01:19:48,Matteo,text,2,0.964904,0.984207,0.0157932
小组赛也这么多人吗,2021-07-16 01:20:36,R,text,0,0.746709,0.113981,0.886019
十二点售票,2021-07-16 01:20:50,Matteo,text,2,0.949671,0.977352,0.0226481
我十二点四十五才想起来,2021-07-16 01:20:59,Matteo,text,0,0.203766,0.358305,0.641695
然后就剩二楼最右边的座位了,2021-07-16 01:21:29,Matteo,text,0,0.629636,0.166664,0.833336
那就只能在现场看手机直播了,2021-07-16 01:55:37,R,text,0,0.693639,0.137862,0.862138
终于遇到一个心理有数的老师了,2021-08-10 02:40:39,Matteo,text,2,0.98935,0.995207,0.00479271
里,2021-08-10 02:40:42,Matteo,text,2,0.452187,0.753484,0.246516
小组作业两人一组,2021-08-10 02:40:51,Matteo,text,2,0.812016,0.915407,0.0845926
自由吗,2021-08-10 02:49:56,R,text,0,0.805888,0.0873504,0.91265
还不错,2021-08-10 02:50:16,Matteo,text,2,0.983663,0.992648,0.00735177
暂时感觉,2021-08-10 02:50:22,Matteo,text,0,0.82224,0.0799921,0.920008
无非就是在宿舍上网课,2021-08-10 02:50:50,Matteo,text,0,0.741929,0.116132,0.883868
你没回家吗,2021-08-10 02:51:02,R,text,0,0.978904,0.0094933,0.990507
刚准备放暑假回家,2021-08-10 02:51:17,Matteo,text,2,0.997261,0.998768,0.00123237
就开学了,2021-08-10 02:51:22,Matteo,text,2,0.80786,0.913537,0.0864629
属实给我整破防了,2021-08-17 18:43:59,Matteo,text,2,0.0595098,0.576779,0.423221
垃圾游戏,2021-08-17 21:33:50,R,text,0,0.999924,3.44325e-05,0.999966
爬,2021-08-17 21:33:58,R,text,2,0.969819,0.986418,0.0135815
10号有空吗,2021-10-06 14:40:37,Matteo,text,2,0.3737,0.718165,0.281835
可能要找你做个线上的访谈,2021-10-06 14:40:56,Matteo,text,0,0.671844,0.14767,0.85233
10号下午晚上可以不,2021-10-06 21:53:42,R,text,2,0.246187,0.660784,0.339216
我上午考试考到14:00,2021-10-06 21:53:55,R,text,2,0.95725,0.980762,0.0192377
然后吃个饭,2021-10-06 21:54:05,R,text,2,0.192707,0.636718,0.363282
行,2021-10-07 07:23:10,Matteo,text,2,0.853851,0.934233,0.0657671
访谈啥呀,2021-10-07 07:58:37,R,text,2,0.0626379,0.578187,0.421813
呐,2021-10-07 07:59:31,Matteo,text,2,0.375225,0.718851,0.281149
我要假装我55岁以上吗哈哈哈哈哈,2021-10-07 08:01:15,R,text,0,0.529897,0.211546,0.788454
是的,2021-10-07 08:01:24,Matteo,text,2,0.110777,0.59985,0.40015
okok,2021-10-07 08:01:32,R,text,2,0.989747,0.995386,0.0046138
笑死,2021-10-07 08:01:34,R,text,0,0.984829,0.00682684,0.993173
[旺柴],2021-10-07 08:01:54,Matteo,text,0,0.572422,0.19241,0.80759
为了考gre 我特么这次跑到了内蒙古,2021-10-07 08:05:26,R,text,0,0.347684,0.293542,0.706458
6,2021-10-07 08:07:08,Matteo,text,2,0.9009,0.955405,0.044595
冷不,2021-10-07 08:07:25,Matteo,text,0,0.900857,0.0446143,0.955386
南京昨晚下了雨之后突然就降温了,2021-10-07 08:07:42,Matteo,text,2,0.696715,0.863522,0.136478
掏羽绒服了,2021-10-07 08:07:58,R,text,0,0.90632,0.042156,0.957844
离谱,2021-10-07 08:08:01,R,text,0,0.998382,0.000727998,0.999272
感觉秋天被快进了,2021-10-07 08:08:35,R,text,0,0.581688,0.188241,0.811759
好家伙,2021-10-07 08:09:31,Matteo,text,2,0.999203,0.999641,0.000358576
可能要八点以后,2021-10-10 04:56:38,Matteo,text,0,0.660823,0.152629,0.847371
可以吗,2021-10-10 04:56:41,Matteo,text,2,0.803241,0.911459,0.0885415
等会老生返校,2021-10-10 04:56:58,Matteo,text,2,0.750949,0.887927,0.112073
好的,2021-10-10 04:57:04,R,text,2,0.99834,0.999253,0.000746884
我得去帮人搬点东西,2021-10-10 04:57:08,Matteo,text,2,0.453806,0.754212,0.245787
牛啊,2021-10-10 04:57:12,R,text,2,0.993773,0.997198,0.00280195
学长,2021-10-10 04:57:14,R,text,2,0.980626,0.991282,0.00871823
不,2021-10-10 04:57:20,Matteo,text,0,0.942702,0.025784,0.974216
我的学长,2021-10-10 04:57:25,Matteo,text,2,0.975584,0.989013,0.0109874
哈哈哈哈哈哈哈哈哈哈哈哈,2021-10-10 04:58:56,R,text,2,0.631988,0.834395,0.165605
曾经的室友,2021-10-10 04:59:52,Matteo,text,2,0.995467,0.99796,0.00203964
时隔一年我就成了学弟,2021-10-10 05:00:02,Matteo,text,0,0.485733,0.23142,0.76858
真就弟中弟,2021-10-10 05:00:40,Matteo,text,0,0.986766,0.00595541,0.994045
哈哈哈哈哈哈哈草笑死了,2021-10-10 05:01:34,R,text,1,0.270108,0.536495,0.463505
我在内蒙古考试,2021-10-10 05:02:11,R,text,2,0.786217,0.903798,0.0962024
整个呼和浩特估计就我一个sb和我朋友两个人穿了长款羽绒服,2021-10-10 05:02:32,R,text,0,0.948157,0.0233293,0.976671
回头率[强][强],2021-10-10 05:02:51,R,text,2,0.999852,0.999933,6.66896e-05
谢谢有被笑到,2021-10-10 05:06:21,Matteo,text,2,0.980754,0.991339,0.0086607
现在可以吗,2021-10-10 08:14:16,Matteo,text,2,0.131239,0.609057,0.390943
我刚出来吃完饭,2021-10-10 08:21:44,R,text,2,0.602925,0.821316,0.178684
晚饭,2021-10-10 08:21:46,R,text,2,0.807185,0.913233,0.0867668
那晚点吧,2021-10-10 08:22:02,Matteo,text,2,0.470606,0.761773,0.238227
明天也行,2021-10-10 08:22:12,Matteo,text,2,0.938628,0.972383,0.0276173
晚点🉑️,2021-10-10 08:29:46,R,text,2,0.615263,0.826868,0.173132
你几点可,2021-10-10 08:29:56,R,text,0,0.363575,0.286391,0.713609
都可以吧,2021-10-10 08:32:04,Matteo,text,2,0.978699,0.990414,0.00958558
十点多吧,2021-10-10 08:32:20,R,text,0,0.860698,0.062686,0.937314
1,2021-10-10 09:26:37,R,text,2,0.719572,0.873807,0.126193
可以啦？,2021-10-10 09:26:48,Matteo,text,2,0.864877,0.939195,0.0608053
嗯嗯,2021-10-10 09:26:53,R,text,2,0.165016,0.624257,0.375743
好,2021-10-10 09:27:23,Matteo,text,2,0.998993,0.999547,0.000452987
明天还得做个采访可以吗,2021-10-13 14:45:32,Matteo,text,2,0.0912499,0.591062,0.408937
好的,2021-10-13 22:01:16,R,text,2,0.99834,0.999253,0.000746884
几点,2021-10-13 22:01:18,R,text,0,0.170233,0.373395,0.626605
看你吧,2021-10-13 22:01:50,Matteo,text,0,0.927485,0.0326316,0.967368
什么时候方便,2021-10-13 22:02:19,Matteo,text,2,0.988385,0.994773,0.00522682
我想想,2021-10-13 22:19:33,R,text,2,0.979902,0.990956,0.00904392
现在可以,2021-10-14 03:07:50,R,text,2,0.933208,0.969944,0.0300564
要不要给你换个采访对象,2021-10-14 03:07:58,R,text,0,0.986251,0.00618726,0.993813
我室友也在,2021-10-14 03:08:01,R,text,2,0.962593,0.983167,0.0168333
还没下课,2021-10-14 03:08:27,Matteo,text,0,0.951798,0.0216911,0.978309
哇哦,2021-10-14 03:08:34,R,text,2,0.912209,0.960494,0.0395058
洋文喔,2021-10-14 03:08:45,R,text,1,1.0,1.0,0.0
你是不是很困啊,2021-10-14 03:08:48,R,text,0,0.924322,0.0340552,0.965945
