localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1275542,6,1,0,1,1625124056,,md我从来没有,2021-07-01 03:20:56,R,R,a33386437
1275543,6,1,0,0,1625197264,,半夜,2021-07-01 23:41:04,Matteo,Matteo,wxid_bw1xnecir2p22
1275544,6,1,0,0,1625197277,,"""你矜不矜持啊""",2021-07-01 23:41:17,Matteo,Matteo,wxid_bw1xnecir2p22
1275545,6,47,0,0,1625197286,,"<msg><emoji fromusername=""wxid_bw1xnecir2p22"" tousername=""a33386437"" type=""2"" idbuffer=""media:0_0"" md5=""a568da051124782cf9b0e08677dd090a"" len=""10183"" productid="""" androidmd5=""a568da051124782cf9b0e08677dd090a"" androidlen=""10183"" s60v3md5=""a568da051124782cf9b0e08677dd090a"" s60v3len=""10183"" s60v5md5=""a568da051124782cf9b0e08677dd090a"" s60v5len=""10183"" cdnurl=""http://vweixinf.tc.qq.com/110/20401/stodownload?m=a568da051124782cf9b0e08677dd090a&amp;filekey=3043020101042f302d02016e0402534804206135363864613035313132343738326366396230653038363737646430393061020227c7040d00000004627466730000000131&amp;hy=SH&amp;storeid=323032313033313531323035323730303030353564333935663361306161613466373531303930303030303036653031303034666231&amp;ef=1&amp;bizid=1022"" designerid="""" thumburl="""" encrypturl=""http://vweixinf.tc.qq.com/110/20402/stodownload?m=defe21d4bd3114d2ce050062447f29e0&amp;filekey=3043020101042f302d02016e0402534804206465666532316434626433313134643263653035303036323434376632396530020227d0040d00000004627466730000000131&amp;hy=SH&amp;storeid=323032313033313531323035323730303031346339383935663361306161613466373531303930303030303036653032303034666232&amp;ef=2&amp;bizid=1022"" aeskey=""14cf4d8a649049b88b7162623ebbcf43"" externurl=""http://vweixinf.tc.qq.com/110/20403/stodownload?m=9781acde3f6ecb1ffe0883a628bb4efb&amp;filekey=3043020101042f302d02016e040253480420393738316163646533663665636231666665303838336136323862623465666202021810040d00000004627466730000000131&amp;hy=SH&amp;storeid=323032313033313531323035323730303032396632613935663361306161613466373531303930303030303036653033303034666233&amp;ef=3&amp;bizid=1022"" externmd5=""7d2151f76a693fac9819fd90a93ba7ae"" width=""198"" height=""198"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid=""""></emoji></msg>",2021-07-01 23:41:26,Matteo,Matteo,wxid_bw1xnecir2p22
1275546,6,47,0,1,1625197297,,"<msg><emoji md5=""e4d4ba036757ff6ab15320135d144884"" type=""2"" len = ""7006"" width=""640"" height=""553""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2021-07-01 23:41:37,R,R,a33386437
1275547,6,1,0,0,1625197330,,云嘤强度还不错,2021-07-01 23:42:10,Matteo,Matteo,wxid_bw1xnecir2p22
1275548,6,1,0,0,1625197344,,和曜差不多,2021-07-01 23:42:24,Matteo,Matteo,wxid_bw1xnecir2p22
1275549,6,1,0,1,1625197354,,刮？,2021-07-01 23:42:34,R,R,a33386437
1275550,6,1,0,0,1625197361,,还好吧,2021-07-01 23:42:41,Matteo,Matteo,wxid_bw1xnecir2p22
1275551,6,1,0,1,1625197363,,薛定谔的刮？,2021-07-01 23:42:43,R,R,a33386437
1275552,6,1,0,0,1625197369,,打李白贼猛,2021-07-01 23:42:49,Matteo,Matteo,wxid_bw1xnecir2p22
1275553,6,1,0,0,1625197381,,我李白开局乱杀最后被翻盘了,2021-07-01 23:43:01,Matteo,Matteo,wxid_bw1xnecir2p22
1275554,6,47,0,1,1625197391,,"<msg><emoji md5=""053e4aac7d9fb7424a43d979ba59d813"" type=""2"" len = ""71361"" width=""640"" height=""504""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2021-07-01 23:43:11,R,R,a33386437
1275555,6,1,0,0,1625221230,,一觉醒来又错过了组队,2021-07-02 06:20:30,Matteo,Matteo,wxid_bw1xnecir2p22
